repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,liveness,unique-contributors,new-commits-last-30d,tag
keven1024/015,345,14,7,3,0,40.580,2,20,300,1,Vue,false,41.000,2,30,File Transfer
Bubka/2FAuth,3896,74,28,15,3,18.994,0,22,2537,21,PHP,false,52.000,1,9,Miscellaneous
RARgames/4gaBoards,488,19,14,11,0,38.934,1,0,1194,45,JavaScript,false,81.000,3,88,Task Management & To-do Lists
doublespeakgames/adarkroom,8069,47,27,16,0,5.825,1,337,4679,119,JavaScript,false,30.000,0,0,Games
mirego/accent,1481,14,9,7,0,9.453,2,30,2959,152,Elixir,false,27.000,0,0,Software Development
csa-admin-org/csa-admin,75,2,1,0,0,26.667,10,0,3381,3,Ruby,false,67.000,1,66,Community-Supported Agriculture (CSA)
activepieces/activepieces,21888,526,240,132,29,24.031,0,1,1240,397,TypeScript,false,100.000,24,366,Automation
ActivityWatch/activitywatch,17360,314,135,71,5,18.088,0,7,3650,32,Python,false,90.000,4,24,Time Tracking
actualbudget/actual,26081,468,201,99,13,17.944,0,0,1458,599,TypeScript,false,100.000,31,181,"Money, Budgeting & Management"
AdguardTeam/AdGuardHome,33696,523,237,105,11,15.521,0,1,3580,223,Go,false,100.000,6,28,DNS
Admidio/admidio,454,16,2,2,0,35.242,1,5,4128,41,PHP,false,56.000,2,28,Human Resources Management (HRM)
vrana/adminer,7359,48,22,9,1,6.523,0,38,5845,171,PHP,false,46.000,0,0,Database Management
seanmorley15/AdventureLog,3105,139,54,32,1,44.767,0,21,757,56,Svelte,false,70.000,1,1,Maps and Global Positioning System (GPS)
toeverything/AFFiNE,67705,1324,599,296,41,19.555,0,0,1364,237,TypeScript,false,100.000,14,51,Knowledge Management Tools
agenta-ai/agenta,4061,99,48,26,3,24.378,0,2,1096,80,TypeScript,false,100.000,10,654,Generative Artificial Intelligence (GenAI)
aimeos/aimeos,5343,43,21,11,0,8.048,1,10,3150,5,JavaScript,false,52.000,1,3,E-commerce
johanohly/AirTrail,1005,48,24,11,0,47.761,1,2,629,34,Svelte,false,80.000,5,27,Maps and Global Positioning System (GPS)
akaunting/akaunting,9762,109,60,25,3,11.166,0,2,3230,103,PHP,false,100.000,3,67,"Money, Budgeting & Management"
alephdata/aleph,2355,22,12,9,2,9.342,0,128,4259,64,JavaScript,false,35.000,0,0,Search Engines
alfio-event/alf.io,1574,7,4,3,0,4.447,3,4,4291,61,Java,false,42.000,1,1,Booking and Scheduling
Alfresco/alfresco-community-repo,213,7,2,2,0,32.864,1,0,2105,440,Java,false,72.000,13,61,Content Management Systems (CMS)
xyproto/algernon,3003,9,6,4,0,2.997,1,0,4064,14,Go,false,77.000,1,36,Web Servers
aliasvault/aliasvault,2406,98,55,17,2,40.732,0,0,695,7,TypeScript,false,100.000,3,132,Password Managers
ampache/ampache,3793,17,6,3,2,4.482,0,2,4783,127,PHP,false,77.000,4,11,Media Streaming
melmothx/amusewiki,213,3,1,0,0,14.085,10,16,4438,13,Perl,false,23.000,1,13,Wikis
orangecoloured/analog,37,1,1,1,0,27.027,6,2,326,1,TypeScript,false,52.000,1,6,Analytics
muety/anchr,381,3,3,2,0,7.874,1,17,3447,5,JavaScript,false,24.000,1,3,Miscellaneous
anonaddy/anonaddy,4604,88,40,23,0,19.114,1,15,2500,11,PHP,false,52.000,1,3,Communication
DaveStephens/ansible-nas,3730,21,9,4,1,5.630,0,347,3162,77,Jinja,false,35.000,0,0,Self-hosting Solutions
apache/answer,15484,72,41,17,1,4.650,0,82,1305,122,Go,false,50.000,0,0,Communication
